epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.956,1.45037,1.35185,1.60051,0.69659,0.6087,0.64915,0.3356,1.71369,1.37682,1.86839,0.00066484,0.00066484,0.00066484
2,234.745,1.16491,1.13732,1.3686,0.62058,0.5751,0.62253,0.32639,1.65989,1.51041,1.88604,0.00131832,0.00131832,0.00131832
3,349.334,1.1082,1.10143,1.33523,0.71553,0.6166,0.68913,0.36742,1.52827,1.30339,1.74132,0.00195861,0.00195861,0.00195861
4,463.469,1.08959,1.06187,1.3222,0.67851,0.66008,0.69439,0.34513,1.69082,1.33601,1.83669,0.0019406,0.0019406,0.0019406
5,578.239,1.07346,1.05065,1.3042,0.73622,0.68972,0.73673,0.38789,1.52612,1.22229,1.71947,0.0019208,0.0019208,0.0019208
6,690.921,1.05617,1.02747,1.29046,0.73239,0.70158,0.75548,0.41895,1.45881,1.25731,1.65111,0.001901,0.001901,0.001901
7,803.832,1.02912,1.00405,1.28102,0.71011,0.73123,0.7496,0.41053,1.47333,1.20486,1.66809,0.0018812,0.0018812,0.0018812
8,918.871,1.01022,0.98717,1.26414,0.72403,0.66008,0.73065,0.41536,1.46613,1.2137,1.67976,0.0018614,0.0018614,0.0018614
9,1033.59,1.00684,0.97149,1.25769,0.74112,0.71854,0.74198,0.41919,1.46052,1.18128,1.66619,0.0018416,0.0018416,0.0018416
10,1150.86,0.97712,0.92927,1.2434,0.7591,0.7332,0.78456,0.4528,1.37979,1.11316,1.57849,0.0018218,0.0018218,0.0018218
11,1267.74,0.98975,0.94933,1.24988,0.77699,0.69763,0.7675,0.44416,1.42982,1.18221,1.65075,0.001802,0.001802,0.001802
12,1381.35,0.95087,0.90628,1.22319,0.76136,0.74402,0.79716,0.47715,1.3271,1.06237,1.54493,0.0017822,0.0017822,0.0017822
13,1499.97,0.93992,0.8857,1.21284,0.76902,0.69763,0.78199,0.44602,1.43281,1.10297,1.61558,0.0017624,0.0017624,0.0017624
14,1616.11,0.95374,0.88911,1.21814,0.79986,0.73913,0.80224,0.47765,1.39844,1.04775,1.59781,0.0017426,0.0017426,0.0017426
15,1733.82,0.93426,0.87296,1.20698,0.79484,0.75099,0.83217,0.48188,1.31668,1.02435,1.55409,0.0017228,0.0017228,0.0017228
16,1848.33,0.92214,0.84899,1.20008,0.8509,0.71937,0.8056,0.4822,1.29337,1.02548,1.51135,0.001703,0.001703,0.001703
17,1963.54,0.9288,0.86154,1.20504,0.82006,0.76558,0.82151,0.50474,1.30664,0.97634,1.53239,0.0016832,0.0016832,0.0016832
18,2081.48,0.91082,0.84382,1.19394,0.85802,0.75099,0.85319,0.53136,1.26714,0.92044,1.48795,0.0016634,0.0016634,0.0016634
19,2196.17,0.89681,0.8246,1.17777,0.84693,0.76544,0.83342,0.48572,1.38648,1.01759,1.61072,0.0016436,0.0016436,0.0016436
20,2311.25,0.90837,0.82548,1.18621,0.83416,0.77537,0.84641,0.5375,1.23726,0.94884,1.43944,0.0016238,0.0016238,0.0016238
21,2425.56,0.89358,0.81637,1.17715,0.83604,0.75577,0.84857,0.52844,1.26174,0.90123,1.4659,0.001604,0.001604,0.001604
22,2539.46,0.88828,0.80774,1.17389,0.83099,0.76877,0.82756,0.51463,1.25999,0.93792,1.46187,0.0015842,0.0015842,0.0015842
23,2655.04,0.88476,0.78993,1.17091,0.83119,0.75889,0.82056,0.52306,1.25261,0.93585,1.45351,0.0015644,0.0015644,0.0015644
24,2768.27,0.88958,0.7943,1.16691,0.86064,0.7933,0.85728,0.53422,1.24445,0.89694,1.46926,0.0015446,0.0015446,0.0015446
25,2885.23,0.86151,0.76664,1.15232,0.84221,0.80166,0.84794,0.54534,1.21751,0.8952,1.44865,0.0015248,0.0015248,0.0015248
26,2999.33,0.86837,0.78019,1.15723,0.83276,0.82016,0.87534,0.57165,1.1945,0.83898,1.4172,0.001505,0.001505,0.001505
27,3113.98,0.85723,0.76066,1.15096,0.83727,0.81348,0.85268,0.54942,1.2322,0.89418,1.46846,0.0014852,0.0014852,0.0014852
28,3231.11,0.85608,0.75809,1.15387,0.86312,0.77866,0.84841,0.54913,1.2094,0.86644,1.427,0.0014654,0.0014654,0.0014654
29,3347.72,0.84475,0.73849,1.14245,0.8285,0.78656,0.86691,0.56869,1.18782,0.854,1.41081,0.0014456,0.0014456,0.0014456
30,3464.86,0.84591,0.7456,1.14432,0.861,0.79447,0.86544,0.56516,1.18503,0.85136,1.39746,0.0014258,0.0014258,0.0014258
31,3579.55,0.84307,0.73453,1.14185,0.8796,0.82609,0.88551,0.57989,1.16595,0.80607,1.40175,0.001406,0.001406,0.001406
32,3694.42,0.82818,0.71471,1.12981,0.85887,0.79379,0.85315,0.57115,1.15858,0.83048,1.38275,0.0013862,0.0013862,0.0013862
33,3810.58,0.82311,0.71129,1.1305,0.84048,0.8122,0.85523,0.57009,1.16802,0.84679,1.40325,0.0013664,0.0013664,0.0013664
34,3924.7,0.82494,0.71106,1.12656,0.82283,0.79853,0.84744,0.55018,1.19004,0.84937,1.42409,0.0013466,0.0013466,0.0013466
35,4038.28,0.81579,0.70253,1.1222,0.84399,0.82323,0.86935,0.57921,1.1312,0.79546,1.37033,0.0013268,0.0013268,0.0013268
36,4153,0.81343,0.69014,1.11668,0.86701,0.81225,0.86112,0.57688,1.14231,0.78325,1.38641,0.001307,0.001307,0.001307
37,4266.39,0.82041,0.69888,1.12504,0.87216,0.84387,0.89283,0.60171,1.13394,0.75448,1.36856,0.0012872,0.0012872,0.0012872
38,4380.9,0.82162,0.69403,1.12089,0.89852,0.79447,0.89735,0.60143,1.11606,0.76606,1.35272,0.0012674,0.0012674,0.0012674
39,4493.08,0.80222,0.67369,1.11212,0.89902,0.82609,0.87801,0.5884,1.14032,0.75694,1.40389,0.0012476,0.0012476,0.0012476
40,4607.2,0.78538,0.66126,1.10356,0.88006,0.80237,0.86947,0.59371,1.1011,0.78883,1.35236,0.0012278,0.0012278,0.0012278
41,4726.73,0.80238,0.68125,1.11539,0.87257,0.83399,0.88644,0.58066,1.13049,0.76129,1.36159,0.001208,0.001208,0.001208
42,4840.32,0.79862,0.66091,1.10724,0.89154,0.82853,0.9038,0.59844,1.11886,0.73989,1.36428,0.0011882,0.0011882,0.0011882
43,4952.64,0.7918,0.66312,1.10754,0.87205,0.8419,0.90247,0.6044,1.0986,0.73131,1.34661,0.0011684,0.0011684,0.0011684
44,5067.95,0.77622,0.64923,1.0977,0.8662,0.84438,0.88627,0.60377,1.09897,0.74124,1.35505,0.0011486,0.0011486,0.0011486
45,5180.46,0.77885,0.65193,1.09804,0.87169,0.85375,0.8881,0.61788,1.07167,0.72517,1.31181,0.0011288,0.0011288,0.0011288
46,5295.51,0.7768,0.64043,1.09646,0.87757,0.84993,0.89727,0.62338,1.10889,0.74209,1.34342,0.001109,0.001109,0.001109
47,5408.91,0.7716,0.63852,1.08893,0.87722,0.83305,0.89571,0.61151,1.10572,0.74214,1.34522,0.0010892,0.0010892,0.0010892
48,5522.63,0.76821,0.62981,1.08594,0.90026,0.84387,0.90248,0.62358,1.07145,0.71329,1.32727,0.0010694,0.0010694,0.0010694
49,5638.19,0.75538,0.63424,1.08785,0.89271,0.85508,0.89885,0.62472,1.04909,0.70934,1.2889,0.0010496,0.0010496,0.0010496
50,5752.36,0.76002,0.62991,1.08485,0.90001,0.85573,0.90458,0.62571,1.05428,0.68363,1.31582,0.0010298,0.0010298,0.0010298
51,5866.12,0.76038,0.62564,1.08804,0.90128,0.86607,0.90118,0.62426,1.05981,0.69899,1.32248,0.00101,0.00101,0.00101
52,5981.37,0.76477,0.62561,1.08297,0.87986,0.86845,0.89885,0.62096,1.05927,0.68725,1.31888,0.0009902,0.0009902,0.0009902
53,6094.4,0.75329,0.62372,1.07852,0.88692,0.85375,0.90307,0.627,1.05445,0.68751,1.31988,0.0009704,0.0009704,0.0009704
54,6209.57,0.74584,0.60858,1.07551,0.87575,0.86561,0.90554,0.63138,1.04763,0.68633,1.30881,0.0009506,0.0009506,0.0009506
55,6322.77,0.74,0.59633,1.07128,0.87045,0.84983,0.89839,0.6244,1.05717,0.70401,1.30941,0.0009308,0.0009308,0.0009308
56,6436.72,0.73167,0.5993,1.0675,0.89418,0.85166,0.89843,0.63064,1.03726,0.6891,1.29196,0.000911,0.000911,0.000911
57,6552.7,0.73913,0.60526,1.07389,0.90048,0.85573,0.91453,0.64501,1.03643,0.67441,1.30796,0.0008912,0.0008912,0.0008912
58,6666.68,0.73559,0.59359,1.06973,0.88827,0.84783,0.90418,0.63326,1.0353,0.67504,1.31154,0.0008714,0.0008714,0.0008714
59,6779.88,0.7263,0.58369,1.05754,0.9138,0.84585,0.90864,0.63297,1.04954,0.67907,1.32512,0.0008516,0.0008516,0.0008516
60,6894.33,0.71808,0.57315,1.05772,0.89877,0.85979,0.89773,0.62591,1.05087,0.66803,1.33452,0.0008318,0.0008318,0.0008318
61,7007.84,0.72451,0.58459,1.06292,0.91274,0.86825,0.90803,0.64888,1.02532,0.65447,1.30745,0.000812,0.000812,0.000812
62,7121.95,0.71671,0.57606,1.06586,0.90295,0.86422,0.91191,0.65041,1.0119,0.66891,1.28988,0.0007922,0.0007922,0.0007922
63,7237.19,0.72251,0.5719,1.06178,0.8903,0.85375,0.907,0.64602,1.02825,0.64176,1.32186,0.0007724,0.0007724,0.0007724
64,7350.49,0.71663,0.56925,1.06075,0.90437,0.85968,0.91458,0.65606,1.0164,0.63707,1.31849,0.0007526,0.0007526,0.0007526
65,7464.04,0.71576,0.57121,1.05842,0.8689,0.86561,0.90517,0.65131,1.02259,0.64107,1.3002,0.0007328,0.0007328,0.0007328
66,7578.97,0.71544,0.56168,1.0549,0.89623,0.8498,0.90426,0.64979,1.01204,0.65554,1.29751,0.000713,0.000713,0.000713
67,7692.94,0.70661,0.55342,1.05019,0.91762,0.85856,0.91009,0.65887,0.99891,0.62247,1.28197,0.0006932,0.0006932,0.0006932
68,7808.46,0.69969,0.55247,1.04781,0.92626,0.84401,0.90671,0.65073,1.02253,0.6293,1.29116,0.0006734,0.0006734,0.0006734
69,7921.6,0.6981,0.55133,1.04628,0.9126,0.86671,0.91508,0.6575,1.0079,0.61599,1.28878,0.0006536,0.0006536,0.0006536
70,8035.39,0.69635,0.54744,1.04854,0.90441,0.87884,0.91766,0.66928,1.00969,0.63641,1.29014,0.0006338,0.0006338,0.0006338
71,8151.73,0.69621,0.54938,1.04721,0.90003,0.8718,0.91204,0.65335,1.01677,0.63362,1.2925,0.000614,0.000614,0.000614
72,8265.69,0.6876,0.54178,1.04418,0.89725,0.87747,0.90827,0.6544,1.01239,0.62807,1.30726,0.0005942,0.0005942,0.0005942
73,8378.81,0.68634,0.53602,1.04181,0.92821,0.84387,0.91656,0.66782,0.98652,0.62309,1.27535,0.0005744,0.0005744,0.0005744
74,8494.87,0.68182,0.53731,1.04209,0.89713,0.85968,0.9176,0.66707,0.98768,0.62001,1.28837,0.0005546,0.0005546,0.0005546
75,8608,0.67085,0.52762,1.0334,0.90716,0.86166,0.91722,0.66542,0.996,0.61787,1.28562,0.0005348,0.0005348,0.0005348
76,8720.89,0.66931,0.52576,1.03545,0.90705,0.87549,0.91048,0.6606,1.00417,0.61211,1.29311,0.000515,0.000515,0.000515
77,8835.84,0.66984,0.52545,1.03569,0.89336,0.87749,0.90541,0.66399,0.9826,0.61673,1.2779,0.0004952,0.0004952,0.0004952
78,8950.86,0.67303,0.53143,1.03863,0.90162,0.86938,0.91007,0.67463,0.9853,0.61171,1.27309,0.0004754,0.0004754,0.0004754
79,9066.42,0.67595,0.52472,1.0368,0.91274,0.86957,0.91489,0.67132,0.98975,0.61137,1.27557,0.0004556,0.0004556,0.0004556
80,9182.94,0.67565,0.52196,1.03542,0.90255,0.88142,0.91893,0.67525,0.9794,0.60146,1.26815,0.0004358,0.0004358,0.0004358
81,9301.27,0.66061,0.51862,1.03367,0.91066,0.86759,0.91427,0.67492,0.97946,0.60721,1.272,0.000416,0.000416,0.000416
82,9417.73,0.66005,0.51673,1.02807,0.90382,0.86364,0.91606,0.67742,0.98385,0.60577,1.28265,0.0003962,0.0003962,0.0003962
83,9533.19,0.65406,0.5047,1.02253,0.91777,0.86759,0.9186,0.6725,0.98638,0.60223,1.27535,0.0003764,0.0003764,0.0003764
84,9644.34,0.65538,0.50851,1.02289,0.90661,0.86561,0.91933,0.68067,0.98399,0.60469,1.27172,0.0003566,0.0003566,0.0003566
85,9757.12,0.65016,0.50015,1.02138,0.88662,0.89526,0.92274,0.68761,0.97395,0.58838,1.2651,0.0003368,0.0003368,0.0003368
86,9871.06,0.64648,0.49682,1.02197,0.91191,0.88538,0.92244,0.69113,0.95723,0.5733,1.25414,0.000317,0.000317,0.000317
87,9983.69,0.65011,0.49915,1.02526,0.91429,0.88735,0.92186,0.68893,0.9574,0.56946,1.26083,0.0002972,0.0002972,0.0002972
88,10093.3,0.64548,0.49149,1.02088,0.91648,0.88918,0.92895,0.69515,0.95607,0.56717,1.25952,0.0002774,0.0002774,0.0002774
89,10207.1,0.6398,0.48967,1.01954,0.9057,0.89208,0.93346,0.6985,0.95777,0.57217,1.25697,0.0002576,0.0002576,0.0002576
90,10319.1,0.64233,0.4894,1.01895,0.90576,0.8913,0.93343,0.69939,0.95658,0.5718,1.2548,0.0002378,0.0002378,0.0002378
91,10431.6,0.59785,0.37588,0.9847,0.89425,0.8857,0.92303,0.68637,0.95806,0.5817,1.25602,0.000218,0.000218,0.000218
92,10541.5,0.58073,0.35956,0.97652,0.90246,0.87747,0.9245,0.69326,0.94744,0.57929,1.25018,0.0001982,0.0001982,0.0001982
93,10648.3,0.57218,0.35261,0.97105,0.90763,0.87381,0.92591,0.69591,0.94512,0.57883,1.2514,0.0001784,0.0001784,0.0001784
94,10756.8,0.56384,0.34617,0.96938,0.89513,0.87719,0.92746,0.69968,0.94083,0.57752,1.24338,0.0001586,0.0001586,0.0001586
95,10865.8,0.56212,0.34614,0.96005,0.91961,0.85908,0.92736,0.69978,0.93746,0.57601,1.23985,0.0001388,0.0001388,0.0001388
96,10974.7,0.56303,0.34017,0.95794,0.87756,0.89236,0.92654,0.69893,0.936,0.57014,1.24035,0.000119,0.000119,0.000119
97,11082.7,0.55631,0.33961,0.95954,0.89746,0.88538,0.92845,0.70424,0.93035,0.56981,1.23578,9.92e-05,9.92e-05,9.92e-05
98,11192.1,0.54553,0.33489,0.95644,0.90942,0.87301,0.92884,0.70535,0.92956,0.56266,1.23397,7.94e-05,7.94e-05,7.94e-05
99,11300.7,0.54294,0.33038,0.95067,0.9279,0.86473,0.92737,0.70673,0.92529,0.56507,1.23113,5.96e-05,5.96e-05,5.96e-05
100,11408.2,0.53818,0.32772,0.94546,0.92435,0.86933,0.9291,0.70488,0.9217,0.56598,1.22937,3.98e-05,3.98e-05,3.98e-05
