epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.587,1.81441,2.94784,1.74771,0.25497,0.22691,0.14415,0.05233,2.44248,2.92463,3.2599,0.000662447,0.000662447,0.000662447
2,198.886,1.94831,2.56597,1.86945,0.18982,0.20956,0.11121,0.03489,2.52638,3.30483,2.9253,0.00131596,0.00131596,0.00131596
3,292.811,2.01832,2.46637,1.9527,0.21074,0.18235,0.1159,0.04167,2.65312,3.12549,3.25232,0.00195626,0.00195626,0.00195626
4,386.836,2.01618,2.35904,1.94163,0.27678,0.24779,0.16256,0.05394,2.57501,2.78333,2.76818,0.0019406,0.0019406,0.0019406
5,481.131,1.90578,2.145,1.84173,0.37458,0.32912,0.28725,0.10788,2.31371,2.72015,2.58836,0.0019208,0.0019208,0.0019208
6,576.05,1.85268,2.02251,1.80384,0.34312,0.33853,0.25299,0.09156,2.36577,2.70092,2.62394,0.001901,0.001901,0.001901
7,669.339,1.7899,1.88761,1.74407,0.48753,0.4075,0.37612,0.15629,2.2185,2.21009,2.4653,0.0018812,0.0018812,0.0018812
8,761.467,1.73806,1.82641,1.7194,0.48287,0.36416,0.34329,0.13623,2.31263,2.34342,2.59611,0.0018614,0.0018614,0.0018614
9,855.935,1.69791,1.74202,1.67813,0.48785,0.39985,0.3576,0.14728,2.51634,2.37948,2.77684,0.0018416,0.0018416,0.0018416
10,947.971,1.68924,1.69471,1.6765,0.4904,0.42191,0.41001,0.17222,2.12711,2.20285,2.42555,0.0018218,0.0018218,0.0018218
11,1042.37,1.6901,1.66083,1.65486,0.5626,0.45279,0.44031,0.19764,2.06933,2.02318,2.3118,0.001802,0.001802,0.001802
12,1140.68,1.659,1.63495,1.63262,0.53289,0.41691,0.41978,0.17651,2.09249,2.09911,2.37707,0.0017822,0.0017822,0.0017822
13,1234.9,1.6287,1.58746,1.61556,0.51996,0.46401,0.46006,0.19845,2.0218,2.04922,2.29208,0.0017624,0.0017624,0.0017624
14,1328.86,1.61523,1.59345,1.61425,0.59186,0.49471,0.48965,0.22069,1.98553,1.82886,2.25574,0.0017426,0.0017426,0.0017426
15,1422.98,1.59615,1.50787,1.59253,0.62643,0.49706,0.51492,0.21646,2.05074,1.83129,2.3235,0.0017228,0.0017228,0.0017228
16,1514.66,1.56696,1.45429,1.56241,0.581,0.47029,0.46859,0.20955,2.0561,1.96175,2.31866,0.001703,0.001703,0.001703
17,1607.82,1.55985,1.43183,1.55781,0.57405,0.54603,0.52975,0.23796,1.91997,1.82241,2.18193,0.0016832,0.0016832,0.0016832
18,1701.49,1.54823,1.39487,1.53699,0.58076,0.51853,0.50336,0.22656,2.0022,1.85179,2.24027,0.0016634,0.0016634,0.0016634
19,1796.61,1.51028,1.36103,1.51963,0.63307,0.49382,0.50052,0.23225,2.08618,1.86207,2.34931,0.0016436,0.0016436,0.0016436
20,1890.53,1.50623,1.34114,1.51226,0.59554,0.51859,0.52314,0.24766,1.96408,1.73632,2.21592,0.0016238,0.0016238,0.0016238
21,1983.17,1.50994,1.33667,1.51839,0.59969,0.53711,0.51489,0.23761,2.00729,1.70214,2.25717,0.001604,0.001604,0.001604
