epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,288.544,1.69706,2.14289,1.73882,0.35348,0.33284,0.28757,0.11141,2.1572,2.37473,2.02719,0.0670482,0.000332847,0.000332847
2,574.803,1.68454,1.993,1.7322,0.48406,0.36466,0.34788,0.15294,2.02979,2.24178,1.99769,0.0340481,0.000666108,0.000666108
3,849.713,1.63824,1.92555,1.68925,0.56083,0.34173,0.37798,0.17828,1.96106,2.12569,1.8554,0.00104774,0.000999079,0.000999079
4,1124.34,1.58929,1.8016,1.65408,0.54236,0.40425,0.41016,0.20947,1.80757,1.88259,1.72606,0.000999023,0.000999023,0.000999023
5,1400.16,1.53708,1.69306,1.60843,0.59191,0.43451,0.44552,0.22311,1.81073,1.83341,1.71658,0.000998264,0.000998264,0.000998264
6,1677.98,1.51107,1.62019,1.5832,0.62708,0.46671,0.50378,0.25087,1.7603,1.77634,1.66161,0.000997288,0.000997288,0.000997288
7,1952.58,1.48259,1.56513,1.56875,0.62918,0.44627,0.49404,0.24446,1.79074,1.76729,1.70632,0.000996097,0.000996097,0.000996097
8,2223.37,1.43659,1.48328,1.52645,0.61295,0.52018,0.53756,0.27582,1.7021,1.61103,1.62498,0.00099469,0.00099469,0.00099469
9,2495.26,1.41874,1.47035,1.51926,0.64159,0.476,0.51141,0.26805,1.73123,1.68979,1.65391,0.000993068,0.000993068,0.000993068
10,2766.47,1.40434,1.42178,1.49351,0.63401,0.48387,0.50194,0.27473,1.6787,1.70634,1.63681,0.000991232,0.000991232,0.000991232
11,3038.24,1.40265,1.40397,1.49816,0.6825,0.50233,0.54189,0.29018,1.67479,1.62135,1.62512,0.000989183,0.000989183,0.000989183
12,3313.36,1.38043,1.36532,1.47652,0.68979,0.50265,0.5547,0.30597,1.63967,1.63386,1.58719,0.000986922,0.000986922,0.000986922
13,3587.75,1.36156,1.32068,1.46292,0.71203,0.52098,0.56582,0.31795,1.59493,1.56981,1.57515,0.000984449,0.000984449,0.000984449
14,3861.33,1.35588,1.31971,1.45536,0.69777,0.54014,0.58997,0.32741,1.60822,1.53576,1.57282,0.000981765,0.000981765,0.000981765
15,4134.17,1.33259,1.27988,1.43816,0.67292,0.55574,0.59227,0.32658,1.59457,1.50702,1.55746,0.000978873,0.000978873,0.000978873
16,4404.61,1.33596,1.26293,1.44241,0.70335,0.54823,0.57974,0.32927,1.5653,1.53896,1.52725,0.000975773,0.000975773,0.000975773
17,4681.44,1.31231,1.22651,1.41864,0.72001,0.53472,0.59061,0.33782,1.59442,1.51211,1.54932,0.000972466,0.000972466,0.000972466
18,4958.78,1.32178,1.24345,1.42708,0.71045,0.56557,0.61661,0.34902,1.54882,1.52465,1.52532,0.000968955,0.000968955,0.000968955
19,5233.79,1.3068,1.20958,1.41391,0.71235,0.56891,0.60639,0.34228,1.59035,1.48749,1.52612,0.000965239,0.000965239,0.000965239
20,5507.16,1.2927,1.19194,1.40615,0.70885,0.57809,0.61829,0.35757,1.54452,1.4644,1.51496,0.000961322,0.000961322,0.000961322
21,5780.08,1.28469,1.17031,1.39813,0.74784,0.55694,0.62249,0.3659,1.54412,1.46075,1.51973,0.000957205,0.000957205,0.000957205
22,6059.96,1.27442,1.17171,1.39669,0.71992,0.58655,0.63833,0.36886,1.52417,1.37462,1.49282,0.000952889,0.000952889,0.000952889
23,6334.88,1.26405,1.15795,1.39104,0.7195,0.57819,0.61833,0.36044,1.53231,1.46383,1.49266,0.000948377,0.000948377,0.000948377
24,6607.21,1.26006,1.14675,1.38148,0.72658,0.59838,0.6398,0.36159,1.54732,1.37531,1.4924,0.000943671,0.000943671,0.000943671
25,6880.77,1.24661,1.13434,1.38012,0.73732,0.57273,0.62736,0.3715,1.513,1.38466,1.48283,0.000938772,0.000938772,0.000938772
26,7158.96,1.25031,1.12861,1.3775,0.74265,0.60157,0.64716,0.37764,1.50063,1.4073,1.46815,0.000933683,0.000933683,0.000933683
27,7435.58,1.23463,1.1002,1.3611,0.75232,0.58974,0.65021,0.39052,1.49178,1.3856,1.47083,0.000928405,0.000928405,0.000928405
28,7714.01,1.2286,1.09785,1.36697,0.74511,0.60118,0.64862,0.38668,1.49835,1.35522,1.47198,0.000922942,0.000922942,0.000922942
29,7992.77,1.21839,1.07433,1.34924,0.77855,0.57852,0.65283,0.38863,1.49473,1.34596,1.45955,0.000917296,0.000917296,0.000917296
30,8269.73,1.21633,1.06416,1.34544,0.75065,0.60007,0.65456,0.39519,1.47474,1.34992,1.47075,0.000911469,0.000911469,0.000911469
31,8544.91,1.20805,1.06445,1.3461,0.76239,0.60441,0.66897,0.40255,1.45239,1.30451,1.44221,0.000905463,0.000905463,0.000905463
32,8821.34,1.20632,1.0485,1.33607,0.7656,0.60403,0.66066,0.39942,1.47698,1.3056,1.4485,0.000899282,0.000899282,0.000899282
33,9096.95,1.19494,1.04132,1.33697,0.76266,0.6011,0.65075,0.3961,1.47857,1.34953,1.46674,0.000892928,0.000892928,0.000892928
34,9370.61,1.19378,1.02081,1.33201,0.73108,0.61306,0.66218,0.39874,1.49436,1.30009,1.46183,0.000886404,0.000886404,0.000886404
35,9643.99,1.18491,1.01346,1.32569,0.75057,0.61729,0.66861,0.40338,1.47308,1.30333,1.44813,0.000879713,0.000879713,0.000879713
36,9919.44,1.17798,0.99698,1.31868,0.73712,0.61573,0.65475,0.40144,1.46307,1.31752,1.45119,0.000872857,0.000872857,0.000872857
37,10193.7,1.17341,1.0003,1.31173,0.75189,0.61926,0.66876,0.40811,1.46276,1.3138,1.43977,0.000865839,0.000865839,0.000865839
38,10470.8,1.16573,0.99149,1.30627,0.75797,0.6165,0.66038,0.40504,1.44545,1.30416,1.43267,0.000858664,0.000858664,0.000858664
39,10744.7,1.16412,0.98847,1.3106,0.77345,0.6197,0.66945,0.4088,1.4506,1.29243,1.42368,0.000851333,0.000851333,0.000851333
40,11024.1,1.15051,0.9732,1.30418,0.74765,0.62787,0.67397,0.41675,1.43419,1.2858,1.42564,0.000843851,0.000843851,0.000843851
41,11305.1,1.14815,0.96814,1.29616,0.7558,0.63511,0.67859,0.41714,1.44107,1.26887,1.42939,0.00083622,0.00083622,0.00083622
42,11585.6,1.1483,0.9567,1.29639,0.76847,0.63085,0.67586,0.41619,1.44709,1.27347,1.42768,0.000828443,0.000828443,0.000828443
43,11863.6,1.13538,0.94632,1.28751,0.76585,0.63406,0.67499,0.41961,1.43468,1.27756,1.42254,0.000820525,0.000820525,0.000820525
44,12140.3,1.13061,0.93536,1.28526,0.75764,0.64152,0.67903,0.42263,1.43344,1.26805,1.42802,0.000812468,0.000812468,0.000812468
45,12415,1.11925,0.93166,1.27669,0.75843,0.64155,0.68543,0.42943,1.41547,1.24631,1.41466,0.000804277,0.000804277,0.000804277
46,12689.6,1.11673,0.91386,1.27406,0.77847,0.63184,0.68199,0.42464,1.42943,1.24948,1.41392,0.000795954,0.000795954,0.000795954
47,12962.3,1.11588,0.91533,1.27273,0.78384,0.63356,0.68618,0.4231,1.43063,1.25329,1.41358,0.000787503,0.000787503,0.000787503
48,13237.7,1.11152,0.90561,1.26822,0.78515,0.63082,0.68572,0.42636,1.42818,1.2487,1.41557,0.000778929,0.000778929,0.000778929
49,13512.8,1.11116,0.90666,1.27008,0.79157,0.62677,0.68115,0.42486,1.41832,1.26445,1.40726,0.000770234,0.000770234,0.000770234
50,13788.8,1.10032,0.90742,1.26116,0.79417,0.62356,0.68693,0.4323,1.40148,1.23873,1.39602,0.000761423,0.000761423,0.000761423
51,14064.4,1.08994,0.88477,1.25748,0.78849,0.63455,0.69059,0.43363,1.40505,1.21878,1.40573,0.0007525,0.0007525,0.0007525
52,14337,1.0925,0.88145,1.25522,0.79673,0.6316,0.68941,0.43195,1.41252,1.21402,1.40425,0.000743468,0.000743468,0.000743468
53,14607.8,1.07252,0.85988,1.24054,0.78466,0.63487,0.68841,0.43226,1.40843,1.23417,1.39678,0.000734332,0.000734332,0.000734332
54,14887.1,1.07529,0.86295,1.24183,0.79168,0.63245,0.68796,0.43303,1.40003,1.23799,1.39802,0.000725094,0.000725094,0.000725094
55,15162.7,1.07311,0.85169,1.23435,0.76998,0.64301,0.68893,0.4334,1.4027,1.22933,1.39739,0.000715761,0.000715761,0.000715761
56,15438.4,1.06904,0.86078,1.2429,0.79511,0.63642,0.69067,0.43358,1.40329,1.23089,1.39855,0.000706335,0.000706335,0.000706335
57,15712.9,1.06718,0.85311,1.23277,0.80142,0.63847,0.69202,0.43339,1.3972,1.23095,1.39829,0.00069682,0.00069682,0.00069682
58,15987.4,1.0591,0.83991,1.22981,0.78557,0.64982,0.69517,0.43943,1.38988,1.23267,1.3916,0.000687222,0.000687222,0.000687222
59,16265.4,1.05098,0.82445,1.223,0.80261,0.63834,0.69363,0.43723,1.39371,1.22508,1.39471,0.000677543,0.000677543,0.000677543
60,16544,1.04504,0.81787,1.21914,0.77935,0.65088,0.6936,0.43675,1.39194,1.2253,1.39457,0.000667789,0.000667789,0.000667789
61,16819.2,1.03366,0.8075,1.21406,0.79194,0.65081,0.69465,0.43545,1.3912,1.23671,1.39468,0.000657963,0.000657963,0.000657963
62,17094.7,1.04071,0.81227,1.21542,0.7734,0.65946,0.69598,0.43809,1.39154,1.22952,1.39456,0.000648071,0.000648071,0.000648071
63,17370.1,1.03059,0.80075,1.20763,0.78588,0.65332,0.69664,0.43894,1.38906,1.22984,1.39316,0.000638115,0.000638115,0.000638115
64,17645.2,1.02478,0.79784,1.20843,0.79203,0.65305,0.69648,0.44301,1.38353,1.22435,1.39289,0.000628101,0.000628101,0.000628101
65,17919.7,1.02187,0.7933,1.2047,0.80348,0.64086,0.69661,0.44173,1.38523,1.2214,1.39272,0.000618034,0.000618034,0.000618034
66,18193.3,1.01691,0.78654,1.20049,0.79354,0.64369,0.69569,0.44135,1.38205,1.22052,1.39083,0.000607916,0.000607916,0.000607916
67,18470.4,1.01512,0.77793,1.20096,0.7671,0.65809,0.69413,0.44046,1.38425,1.21615,1.39392,0.000597754,0.000597754,0.000597754
68,18744.7,1.00968,0.77345,1.19793,0.77335,0.65465,0.69318,0.44083,1.38851,1.21765,1.39955,0.000587551,0.000587551,0.000587551
69,19019.2,1.00176,0.76647,1.1874,0.77923,0.65575,0.6942,0.44187,1.38808,1.21741,1.39856,0.000577311,0.000577311,0.000577311
70,19295.5,0.99383,0.75883,1.186,0.76798,0.6577,0.69388,0.44152,1.38422,1.22029,1.39541,0.00056704,0.00056704,0.00056704
71,19570.8,0.99934,0.76686,1.18858,0.77551,0.6598,0.69482,0.44176,1.38669,1.21452,1.39585,0.000556742,0.000556742,0.000556742
72,19846,0.98781,0.75186,1.18407,0.77655,0.66038,0.69636,0.44301,1.38635,1.21326,1.39272,0.000546421,0.000546421,0.000546421
73,20121.6,0.98618,0.7522,1.18345,0.76375,0.66477,0.69682,0.44278,1.38383,1.2077,1.39119,0.000536081,0.000536081,0.000536081
74,20396.4,0.97761,0.73945,1.17642,0.76465,0.66407,0.69607,0.44335,1.3857,1.20666,1.39384,0.000525728,0.000525728,0.000525728
