epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,294.663,1.185,2.01577,1.33482,0.40683,0.6179,0.52739,0.30187,1.61922,1.82881,1.64475,0.00332915,0.00332915,0.00332915
2,579.519,1.14173,1.37074,1.28561,0.64885,0.61636,0.6824,0.40853,1.50962,1.52523,1.54925,0.00659652,0.00659652,0.00659652
3,863.025,1.14247,1.2389,1.2844,0.73806,0.63448,0.71358,0.41957,1.49679,1.43748,1.54592,0.0097979,0.0097979,0.0097979
4,1147.16,1.18478,1.21713,1.29797,0.78026,0.65851,0.76279,0.45523,1.47365,1.28438,1.47572,0.009703,0.009703,0.009703
5,1427.47,1.15998,1.12768,1.27858,0.78037,0.71881,0.77485,0.46964,1.44989,1.19979,1.45802,0.009604,0.009604,0.009604
6,1705.01,1.14055,1.07056,1.25881,0.77433,0.71893,0.80204,0.4937,1.42682,1.11698,1.42668,0.009505,0.009505,0.009505
7,1978.48,1.14336,1.04268,1.25773,0.81292,0.70826,0.79752,0.4895,1.42588,1.09178,1.43796,0.009406,0.009406,0.009406
8,2247.7,1.13347,1.01948,1.25609,0.80953,0.7669,0.82752,0.50524,1.40805,1.02432,1.42506,0.009307,0.009307,0.009307
9,2522.9,1.12664,1.00323,1.24464,0.82182,0.75026,0.83403,0.51593,1.38551,1.00516,1.40538,0.009208,0.009208,0.009208
10,2793.69,1.12343,0.99514,1.24968,0.8134,0.7729,0.83313,0.51538,1.38197,0.99896,1.40086,0.009109,0.009109,0.009109
11,3062.12,1.10482,0.95782,1.23435,0.83589,0.72577,0.82544,0.51553,1.38247,0.99634,1.41275,0.00901,0.00901,0.00901
12,3334.04,1.1082,0.95865,1.23774,0.81955,0.78538,0.84498,0.51306,1.38333,0.94782,1.38641,0.008911,0.008911,0.008911
13,3610.91,1.10426,0.94799,1.23251,0.83668,0.78215,0.84677,0.53053,1.35833,0.92952,1.37949,0.008812,0.008812,0.008812
14,3897.79,1.09581,0.92949,1.22377,0.83723,0.77887,0.85203,0.54373,1.34874,0.91233,1.37286,0.008713,0.008713,0.008713
15,4172.97,1.09655,0.92476,1.22021,0.82578,0.77268,0.84041,0.53403,1.34095,0.92234,1.35393,0.008614,0.008614,0.008614
16,4447.78,1.08299,0.91104,1.21316,0.84793,0.77657,0.84701,0.53605,1.35884,0.90524,1.37844,0.008515,0.008515,0.008515
17,4728.32,1.09051,0.91465,1.21806,0.85795,0.78369,0.85015,0.54529,1.33492,0.88805,1.35718,0.008416,0.008416,0.008416
18,5008.26,1.07436,0.89939,1.21103,0.84096,0.79102,0.85565,0.54497,1.34064,0.8889,1.36229,0.008317,0.008317,0.008317
19,5289.1,1.07271,0.8952,1.21138,0.87066,0.79412,0.87036,0.5602,1.33771,0.87257,1.35417,0.008218,0.008218,0.008218
20,5565.41,1.07877,0.886,1.21136,0.85747,0.81301,0.87132,0.56175,1.33124,0.84907,1.34831,0.008119,0.008119,0.008119
21,5834.9,1.07153,0.88194,1.20419,0.82275,0.78861,0.84844,0.54953,1.32869,0.87124,1.35589,0.00802,0.00802,0.00802
22,6106.55,1.06592,0.87666,1.19921,0.84737,0.82819,0.87149,0.55694,1.32622,0.83465,1.34206,0.007921,0.007921,0.007921
23,6375.55,1.05676,0.86773,1.19865,0.8534,0.81067,0.87495,0.56152,1.32933,0.83421,1.34896,0.007822,0.007822,0.007822
24,6642.99,1.05696,0.86199,1.19821,0.85637,0.79958,0.86353,0.55727,1.33144,0.84519,1.35482,0.007723,0.007723,0.007723
25,6913.51,1.05782,0.86039,1.196,0.88206,0.8041,0.88155,0.56391,1.32069,0.80444,1.33829,0.007624,0.007624,0.007624
26,7187.78,1.05063,0.85128,1.19164,0.86649,0.80689,0.87892,0.57213,1.30967,0.8192,1.33843,0.007525,0.007525,0.007525
27,7469.01,1.03968,0.83937,1.18932,0.8499,0.83459,0.87624,0.56956,1.30623,0.80361,1.32892,0.007426,0.007426,0.007426
28,7746.46,1.04505,0.8335,1.18983,0.868,0.81037,0.88142,0.5739,1.30226,0.78406,1.31805,0.007327,0.007327,0.007327
